label;birth date;death date
Fred Imus;1942-01-11;2011-08-06
Fred Jordan (singer);1922-01-05;2002-07-30
Fred K. Huffer;1879-01-01;1943-08-23
Fred Karno;1866-03-26;1941-09-18
Fred Kirby;1910-07-19;1996-04-22
Fred Lowery;1909-11-02;1984-12-11
Fred Mendelsohn;1917-05-16;2000-04-28
Fred Milano;['1939-08-22', '1939-08-26'];2012-01-01
Fred Mills (musician);1935-03-15;['2009-09-07', '2009-09-09']
Fred Neil;1936-03-16;2001-07-07
Fred Panopio;1939-02-04;2010-04-22
Fred Ramsey;1915-01-29;1995-03-18
Fred Rauch;1909-09-28;1997-06-01
Fred Rebell;1886-04-22;1968-11-10
Fred Rogers;1928-03-20;2003-02-27
Fred Rose (songwriter);1897-08-24;1954-12-01
Fred Sanborn;1899-11-23;1961-03-09
Fred Schmitz;1820-12-25;1905-02-08
Fred Sledge Smith;1933-05-18;2005-07-29
Fred Steiner;1923-02-24;2011-06-23
Fred Stone (musician);1935-09-09;1986-12-10
Fred Van Eps;1878-12-30;1960-11-22
Fred Wedlock;1942-05-23;2010-03-04
Fred Wise (songwriter);1915-05-27;1966-01-18
Fred Åkerström;1937-01-27;1985-08-09
Freddie Brocksieper;1912-08-24;1990-01-17
Freddie Brown (musician);1940-12-04;2002-04-30
Freddie Fisher (musician);1904-06-11;1967-03-28
Freddie Gorman;1939-04-11;2006-06-13
Freddie Green;1911-03-31;1987-03-01
Freddie Gruber;1927-05-27;2011-10-11
Freddie Hubbard;1938-04-07;2008-12-29
Freddie Keppard;1889-02-27;1933-07-15
Freddie King;1934-09-03;1976-12-28
Freddie Kohlman;1918-08-25;1990-09-29
Freddie McKay;1947-01-01;1986-11-19
Freddie Mercury;1946-09-05;1991-11-24
Freddie Perren;1943-05-15;2004-12-16
Freddie Phillips;None;2003-10-04
Freddie Scott;1933-04-24;2007-06-04
Freddie Silva;1938-05-18;2001-10-29
Freddie Spruell;1893-12-28;1956-06-19
Freddie Waits;['1940-04-27', '1943-04-27'];1989-11-18
Freddie Webster;1916-06-08;1947-04-01
Freddy Breck;1942-01-21;2008-12-17
Freddy Fender;1937-06-04;2006-10-15
Freddy Gardner;1910-12-23;1950-07-26
Freddy Johnson;1904-03-12;1961-03-24
Freddy Martin;1906-12-09;1983-09-30
Freddy Randall;1921-05-06;1999-05-18
Frederic Archer;1838-06-16;1901-10-22
Frederic Austin;1872-03-30;1952-04-10
Frederic Cliffe;1857-05-02;1931-11-19
Frederic King;None;1933-05-20
Frederick Arthur Sefton Cottom;1928-09-18;2011-01-21
Frederick August Baumbach;None;1813-11-30
Frederick Charles Reinhold;None;1815-09-29
Frederick Dalberg;1907-01-07;1988-05-09
Frederick Hobbs (singer);1874-07-29;1942-04-11
Frederick J. Loudin;1836-01-01;['1904-01-01', '1904-11-03']
Frederick Keel;1871-05-08;1954-08-09
Frederick Lablache;1815-08-29;1887-01-30
Frederick Niecks;1845-02-03;1924-06-24
Frederick Noad;1929-08-08;2001-09-13
Frederick Richard Edmund Emmett;1903-12-11;1974-07-03
Frederick Salvemini de Castillon;1747-09-22;1814-01-27
Frederick Thurston;1901-09-21;1953-12-12
Frederick Wilson Whitehead;1863-01-01;1926-03-06
Frederick Zimmermann;1906-05-18;1967-08-03
Frederico de Freitas;1902-11-15;1980-01-12
Frederik Christian Funck;1783-08-30;1866-12-02
Frederik Foersom;1805-06-13;1854-05-04
Frederik Philip Carl August Barth;None;1804-12-22
Frederik Thorkildsen Wexschall;1798-04-09;1845-10-25
Frederik van Pallandt;1932-05-04;1994-05-15
Fredesvinda García;None;1961-07-31
Fredric Lieberman;None;2013-05-04
Fredrik Friis;1923-04-02;2008-03-15
Fredrika Stenhammar;1836-09-19;1880-10-07
Fredy Reyna;1917-04-03;2001-03-26
French Carpenter;1899-06-07;1965-05-22
Frida Boccara;1940-10-29;1996-08-01
Frieda Hempel;1885-06-26;1955-10-07
Friedrich Asinger;1907-06-26;1999-03-07
Friedrich August Kanne;1778-03-08;1833-12-16
Friedrich August Kummer;1797-08-05;1879-08-22
Friedrich Baumfelder;1836-05-28;['1916-08-08', '1916-09-08']
Friedrich Benda;1745-07-15;1814-06-19
Friedrich Buxbaum;1869-09-23;1948-10-02
Friedrich Christian Hermann Uber;1781-04-22;1822-03-02
Friedrich Chrysander;1826-07-08;1901-09-03
Friedrich Curschmann;1805-06-21;1841-08-24
Friedrich Grützmacher;1832-03-01;1903-02-23
Friedrich Gumpert;1841-04-27;1906-12-31
Friedrich Hegar;1841-10-11;1927-06-02
Friedrich Kühmstedt;1809-12-20;1858-01-08
Friedrich Plaschke;1875-01-07;1952-02-04
Friedrich Ruthardt;1802-12-09;1862-05-23
Friedrich Wilhelm Jähns;1809-01-02;1888-08-08
Friedrich Wilhelm Marpurg;1718-11-21;1795-05-22
Friedrich Wilhelm Rust;1739-07-06;1796-02-28
Frisner Augustin;1948-03-01;2012-02-28
Fritz Heinrich Klein;1892-02-02;1977-07-12
Fritz Hübner;1933-04-25;2000-06-16
Fritz Kreisler;1875-02-02;1962-01-29
Fritz Laband;1925-11-01;1982-01-03
Fritz Pauer;1943-10-14;2012-07-01
Fritz Rau;1930-03-09;2013-08-19
Fritz Schaetzler;1898-05-13;1994-02-03
Fritz Schulz-Reichel;1912-07-04;1990-02-04
Fritz Simrock;1837-01-02;1901-08-20
Fritz Spindler;1817-11-24;1905-12-26
Fritz Uhl;1928-04-02;2001-05-21
Fritz Usinger;1895-03-05;1982-12-09
Fritz Weiss;1919-09-28;1944-09-28
Frode Thingnæs;1940-03-20;2012-11-15
Frédéric Bérat;1801-03-11;1855-12-02
Frédéric Pelletier;1870-05-01;1944-05-30
Fuat Mansurov;1928-01-10;2010-06-12
Fud Livingston;1906-04-10;1957-03-25
Fulgencio Aquino;1915-01-01;1994-07-21
Fulton McGrath;1907-12-06;1958-01-01
Furry Lewis;1893-03-06;1981-09-14
Fyodor Druzhinin;1932-04-06;2007-07-01
Fyodor Keneman;1873-04-08;1937-03-29
Fyodor Petrovich Komissarzhevsky;None;1905-03-14
Félia Litvinne;1860-10-11;1936-10-12
Félix B. Caignet;1892-03-31;1976-05-25
Félix Chappottín;1907-03-31;1983-12-21
Félix Fourdrain;1880-02-03;1923-10-23
Félix Godefroid;1818-07-24;1897-07-12
Félix Le Couppey;1811-04-14;1887-07-04
Félix Leclerc;1914-08-02;1988-08-08
Félix Pérez Cardozo;1908-11-20;1952-06-09
Félix Vieuille;1872-10-15;1953-02-28
Fănică Luca;1894-04-05;1968-10-26
Fărâmiță Lambru;1927-09-15;1974-12-12
F. C. Barnes;1929-06-22;2011-07-11
F. G. Natesa Iyer;1880-11-11;1963-01-23
Fabrizio De André;1940-02-18;1999-01-11
Facundo Cabral;1937-05-22;2011-07-09
Fad Gadget;1956-09-08;2002-04-03
Fadhili William;1938-11-11;2001-02-11
Fahd Ballan;1933-03-22;1997-12-24
Faith Petric;1915-09-13;2013-10-24
Falco (musician);1957-02-19;1998-02-06
Falcon Stuart;1941-03-27;2002-02-27
Fannie Bloomfield Zeisler;1863-07-16;1927-08-20
Fanny Anitùa;1887-01-22;1969-04-04
Fanny Crosby;1820-03-24;1915-02-12
Fanny Davies;1861-06-27;1934-09-01
Fanny Holland;1847-09-14;1931-06-18
Fanny Rose Howie;1868-01-11;1916-05-20
Fanny Tacchinardi Persiani;1812-10-04;1867-05-03
Faramarz Payvar;1933-02-10;2009-12-09
Farhad Mehrad;1944-01-20;2002-08-31
Farid Ali (singer);1919-01-09;1981-10-19
Farid al-Atrash;1910-10-19;1974-12-26
Faron Young;1932-02-25;1996-12-10
Farrukh Fateh Ali Khan;1952-12-25;2003-09-09
Faruq Z. Bey;1942-02-04;2012-06-01
Fat Pat (rapper);1970-12-04;1998-02-03
Fatai Rolling Dollar;1927-07-22;2013-06-12
Fate Marable;1890-12-02;1947-01-16
Fathead (musician);None;1988-10-19
Fatime Sokoli;1948-06-18;1987-08-12
Fatma Mukhtarova;1893-03-26;1972-10-19
Fats Heard;1923-10-10;1987-12-05
Fats Navarro;1923-09-24;1950-07-06
Fats Pichon;1906-04-03;1967-02-25
Fats Waller;1904-05-21;1943-12-15
Faustino Oramas;1911-06-04;2007-03-27
Fausto Papetti;1923-01-28;1999-06-15
Fay McKay;1930-08-10;2008-04-04
Fayette Pinkney;1948-01-10;2009-06-27
Faygele Ben-Miriam;1944-10-21;2000-06-05
Fayza Ahmed;1934-12-05;1983-09-24
Fazal Ali Qureshi;None;1935-11-28
Fedele Fenaroli;1730-04-25;1818-01-01
Federico A. Cordero;1928-08-18;2012-10-09
Fei-Ping Hsu;None;2001-11-27
Fela Kuti;1938-10-15;1997-08-02
Fela Sowande;None;1987-03-13
Felice DeMatteo;1866-04-17;1929-12-13
Felice Lattuada;1882-02-05;1962-11-02
Felice Varesi;None;1889-03-13
Feliciano Vierra Tavares;1920-10-29;2008-12-17
Felicie Huni-Mihacsek;1891-04-03;1976-03-26
Feliks Janiewicz;None;1848-05-21
Feliks Konarski;1907-01-09;1991-08-09
Feliks Nowowiejski;1877-02-07;1946-01-18
Felipe Pinglo Alva;1899-07-18;1936-05-13
Felipe Rodríguez (singer);1926-05-08;1999-05-26
Felipe Romito;1893-03-25;1962-03-01
Felix Dias Bandaranaike;1930-11-05;1985-06-26
Felix Dreyschock;1860-12-27;1906-08-01
Felix Fox;1876-05-25;1947-03-24
Felix Galimir;1910-05-12;1999-11-10
Felix Grant;1918-12-22;1918-12-22
Felix Haug;1952-03-27;2004-05-01
Felix Khuner;None;1991-06-10
Felix Krohn;1898-05-20;1963-11-08
Felix Körling;1864-12-17;['1937-01-08', '1937-08-16']
Felix Lederer;1877-02-25;1957-03-26
Felix Maria Diogg;1762-07-01;['1834-02-12', '1834-02-19']
Felix Pappalardi;1939-12-30;1983-04-17
Felix Powell;1878-05-23;1942-02-10
Felix Salmond;1888-11-19;1952-02-20
Felix Woyrsch;1860-10-08;1944-03-20
Felix Wurman;1958-10-27;2009-12-26
Felix von Kraus;1870-10-03;1937-10-30
Feng Fei-fei;1953-08-20;2012-01-03
Fenton Jones;1907-06-02;2003-06-30
Fenton Robinson;1935-09-23;1997-11-25
Ferdi Statzer;None;1974-06-17
Ferdinand Frantz;1906-02-08;1959-05-26
Ferdinand Fränzl;1767-05-20;1833-10-27
Ferdinand Hellmesberger;1863-01-24;1940-03-15
Ferdinand Küchler;1867-07-14;1937-10-24
Ferdinand Troyer;1780-02-01;1851-07-23
Ferdinand Weiss;1932-02-13;2002-01-13
Ferdo Rusan;1810-12-10;1879-05-02
Ferenc László;1937-05-08;2010-03-17
Fereydoon Forooghi;1951-01-29;2001-10-05
Fereydoon Motamed;1917-10-06;1993-07-13
Fereydoun Farrokhzad;['1936-10-07', '1938-10-07'];['1992-08-06', '1992-08-08']
Ferial Karim;1938-04-16;1988-07-04
Ferlin Husky;1925-12-03;2011-03-17
Fermo Dante Marchetti;1876-08-28;1940-06-11
Fernand Gillet;1882-10-15;1980-03-08
Fernand Lindsay;1929-05-11;2009-03-17
Fernand Oubradous;1903-02-12;1986-01-06
Fernand de La Tombelle;1854-08-03;1928-08-13
Fernande Decruck;1896-12-25;1954-08-06
Fernando Adames Torres;1837-03-01;1910-09-03
Fernando Arbello;1907-05-30;1970-07-26
Fernando Arbex;1941-05-28;2003-07-05
Fernando Argenta;1945-07-04;2013-12-03
Fernando Corena;1916-12-22;1984-11-26
Fernando De Lucia;None;1925-02-21
Fernando Maurício;1933-11-21;2003-07-15
Fernando Rosas Pfingsthorn;1931-08-07;2007-10-05
Fernando Valades;1920-04-01;1978-12-14
Fernando Valenti;1926-12-04;1990-09-06
Fernando de la Mora (politician);1773-12-18;1835-05-14
Fernest Arceneaux;1940-08-27;2008-09-04
Ferre Grignard;1939-03-13;1982-08-08
Ferruccio Tagliavini;1913-08-14;['1995-01-28', '1995-01-29']
Fess Williams;1894-04-10;1975-12-17
Fiddlin' Arthur Smith;1898-04-10;1971-02-28
Fiddlin' Doc Roberts;1897-04-26;1978-08-04
Fiddlin' John Carson;1868-03-23;1949-12-11
Fikret Kızılok;1947-11-10;2001-09-22
Filip Lazăr;1894-05-06;1936-11-03
Filip Nikolic;1974-09-01;2009-09-16
Filippo Coletti;1811-05-11;1894-06-13
Filippo Galli (bass);None;1853-06-03
Fina de Calderón;1927-08-21;2010-01-12
Finbarr Dwyer;1946-09-20;2014-02-08
Finis Tasby;None;2014-11-02
Finn Benestad;1929-10-30;2012-04-30
Finn Mortensen;1922-01-06;1983-05-23
Fiorello Giraud;1870-10-22;1928-03-28
Fiorenzo Carpi;1918-10-19;1997-05-21
Firoz Dastur;1919-09-30;2008-05-09
Firoza Begum (singer);1930-07-28;2014-09-09
Fisher Morgan;None;1959-01-18
Fitnete Rexha;1933-04-03;2003-08-13
Fiyaz Khan;None;2014-11-12
Flash Terry;1934-06-17;2004-03-18
Flausino Vale;1894-01-06;1954-04-04
Flaviano Labò;1927-02-01;1991-02-13
Fleming Williams;1943-12-26;1998-02-15
Flemming Jørgensen;1947-02-07;2011-01-01
Fletcher Henderson;1897-12-18;1952-12-29
Fletcher Hodges Jr.;1905-08-06;['2006-03-13', '2008-03-13']
Flip Phillips;1915-03-26;2001-08-17
Flora Batson;1864-04-16;1906-12-01
Flora Martirosian;1957-02-05;2012-11-20
Flora Perini;1887-11-20;1975-09-23
Flore Revalles;1889-01-25;1966-08-29
Florence Austral;1892-04-26;1968-05-15
Florence Ballard;1943-06-30;1976-02-22
Florence Cole Talbert;1890-06-17;1961-04-03
Florence Easton;1882-10-25;1955-08-13
Florence Foster Jenkins;1868-07-19;1944-11-26
Florence Harding;1860-08-15;1924-11-21
Florence Hinkle;1885-06-22;1933-04-19
Florence Kirk;None;1999-06-06
Florence Kopleff;1924-05-02;2012-07-24
Florence Maude Young;1870-10-02;1920-11-11
Florence Perry;1869-07-13;1949-12-19
Florence Pigott;None;1899-11-22
Florence Reece;1900-04-12;1986-08-03
Florence Smithson;1884-03-13;1884-03-13
Florence Wysinger Allen;1913-03-14;1997-06-01
Florencio Constantino;1869-04-09;1919-11-19
Florentina Mallá;1891-07-14;1973-06-07
Florian Fricke;1944-02-23;2001-12-29
Florian Johann Deller;1729-05-02;1773-09-19
Florian ZaBach;1918-08-15;2006-02-25
Florimond Van Duyse;1843-08-04;1910-05-18
Florin Bogardo;1942-08-16;2009-08-15
Florindo Sassone;1912-01-12;1982-01-31
Florizel von Reuter;1890-01-21;1985-05-10
Floyd Candy Johnson;1922-05-01;1981-06-28
Floyd Chance;1925-12-21;2005-04-11
Floyd Council;1911-09-02;1976-05-09
Floyd Cramer;1933-10-27;1997-12-31
Floyd Dakil;1945-06-16;2010-04-24
Floyd Dixon;1929-02-08;2006-07-26
Floyd Graham;1902-10-15;1974-08-18
Floyd Huddleston;1918-08-19;1991-09-27
Floyd Jones;1917-07-21;1989-12-19
Floyd O'Brien;1904-05-07;1968-11-26
Floyd Smith (musician);1917-01-25;1982-03-29
Floyd Tillman;1914-12-08;2003-08-22
Foggy Lyttle;1944-05-13;2003-12-25
Folke Jonsson;1904-06-09;1981-12-07
Fontella Bass;1940-07-03;2012-12-26
Forbes Robinson;1926-05-21;1987-05-13
Forest City Joe;1926-07-10;1960-04-03
Forouzan;1937-09-13;2016-01-24
Forrest (singer);1953-04-21;2013-09-09
Fotis Polymeris;1920-02-20;2013-05-28
Foy Willing;1914-05-14;1978-07-14
Fran Frey;1903-12-23;1962-12-01
Fran Minkoff;1915-02-05;2002-04-22
Franca Raimondi;1932-07-08;1988-08-28
Frances Adaskin;1900-08-23;2001-03-08
Frances Allitsen;1848-12-30;1912-10-01
Frances Bible;1919-01-26;2001-01-29
Frances Day;1908-12-16;1984-04-29
Frances Densmore;1867-05-21;1957-06-05
Frances Gershwin;1906-12-06;1999-01-18
Frances Greer;1917-01-12;2005-06-28
Frances Ingram;1888-11-05;1974-04-12
Frances James (soprano);1903-02-03;1988-08-22
Frances Klein;1915-10-19;2012-12-22
Frances Nero;1943-03-13;['2014-11-28', '2014-11-29']
Frances Wayne;1924-08-26;1978-02-06
Francesc Viñas;1863-03-27;1933-07-14
Francesc de Castellví i Obando;None;1757-09-15
Francesco Albanese;1912-08-13;2005-06-11
Francesco Antonio Pistocchi;None;1726-05-13
Francesco Ceccarelli;None;1814-09-21
Francesco Florimo;1800-10-12;1888-12-18
Francesco Graziani (baritone);1828-04-26;1901-06-30
Francesco Mancini (composer);1672-01-16;1737-09-22
Francesco Maria Bonini;None;1930-01-11
Gary Driscoll;1946-04-18;1987-06-08
Gary Finneran;1964-04-17;2009-05-10
Gary Holton;1952-09-22;1985-10-25
Gary Kellgren;1939-04-07;1977-07-20
Gary King (bass player);1947-09-05;2003-07-22
Gary Kurfirst;None;2009-01-13
Gary McFarland;1933-10-23;1971-11-03
Gary Miller (singer);None;1968-06-15
Gary Moore;1952-04-04;2011-02-06
Gary Phillips (keyboardist);1947-02-05;2007-01-17
Gary Primich;1958-04-20;2007-09-23
Gary Richrath;1949-10-18;2015-09-13
Gary Scalese;None;1990-08-24
Gary Stewart (singer);1944-05-28;2003-12-16
Gary Thain;1948-05-15;1975-12-08
Gary Usher;1938-12-14;1990-05-25
Gary Windo;1941-11-07;1992-07-25
Gary Zekley;1943-01-04;1996-06-19
Gaston Allaire;1916-06-18;2011-01-15
Gaston Litaize;1909-08-11;1991-08-05
Gauhar Jaan;1873-06-26;1930-01-17
Gautam Chattopadhyay;1948-06-01;1999-06-20
Gavriil Musicescu;1847-03-20;1903-12-21
Gaye Delorme;1947-03-20;['2011-06-23', '2011-06-24']
Gayle McCormick;1948-11-26;2016-03-01
Gaylord Birch;1946-03-10;1996-04-14
Gaynor Rowlands;1883-04-03;1906-07-18
Geater Davis;1946-01-29;1984-09-29
Gebhard Müller;1900-04-17;1990-08-07
Ged Peck;1947-10-19;2015-01-10
Geeta Dutt;1930-11-23;1972-07-20
Geezil Minerve;1922-01-03;1992-06-04
Gegè Di Giacomo;1918-01-17;2005-04-01
Gelena Velikanova;1922-02-27;1998-11-10
Gely Abdel Rahman;None;1990-08-24
Geminiano Giacomelli;1692-05-28;1740-01-25
Gemma Bellincioni;1864-08-18;1950-04-23
Gemma Bosini;None;1982-02-02
Gene Bowlegs Miller;1933-05-27;1987-12-25
Gene Allison;1934-08-29;2004-02-28
Gene Ammons;1925-04-14;1974-07-23
Gene Austin;1900-06-24;1972-01-24
Gene Autry;1907-09-29;1998-10-02
Gene Buck;1885-08-07;1957-02-25
Gene Clark;1944-11-17;1991-05-24
Gene Conners;1930-12-28;2010-06-10
Gene Eugene;1961-04-06;2000-03-20
Gene Gifford;1908-05-31;1970-11-12
Gene Hall;1913-06-12;1993-03-04
Gene Harris;1933-09-01;2000-01-16
Gene Kardos;1899-06-12;1980-07-27
Gene Kelton;1953-04-10;2010-12-28
Gene Krupa;1909-01-15;1973-10-16
Gene Leis;1920-04-19;1993-03-15
Gene Ludwig;1937-09-04;2010-07-14
Gene MacLellan;1938-02-02;1995-01-19
Gene McDaniels;1935-02-12;2011-07-29
Gene McFadden;1949-01-28;2006-01-27
Gene Orloff;None;2009-03-23
Gene Page;['1939-09-13', '1940-09-13'];1998-08-24
Gene Phillips;1915-07-25;1990-01-10
Gene Pitney;1940-02-17;2006-04-05
Gene Porter;1910-06-07;1993-02-24
Gene Puerling;1929-03-31;2008-03-25
Gene Quill;1927-12-15;1988-12-08
Gene Ramey;1913-04-04;1984-12-08
Gene Rockwell;1944-12-27;1998-07-03
Gene Rodemich;1890-04-13;1934-02-27
Gene Rodgers;1910-03-05;1987-10-23
Gene Rondo;1943-05-28;1994-06-12
Gene Sedric;1907-06-17;1963-04-03
Gene Severens;1963-06-22;2006-02-19
Gene Taylor (bassist);1929-03-19;2001-12-22
Gene Vincent;1935-02-11;1971-10-12
Gene Wooten;1953-06-05;2001-11-07
Gene de Paul;1919-06-17;1988-02-27
General Charles Ashley;None;1818-08-21
General Johnson (musician);1941-05-23;2010-10-13
Generoso Jiménez;1917-07-17;2007-09-15
Geneviève Joy;1919-10-04;2009-11-27
Geneviève Vix;1879-12-31;1939-08-25
Gennady Provatorov;1929-03-11;2010-05-04
Gennaro Manna;1715-12-12;1779-12-28
Genoa Keawe;1918-10-31;2008-02-25
Gentry McCreary;1941-09-19;2015-12-09
Geoff Bradford (musician);1934-01-13;2014-03-24
Geoff Goddard;1937-11-19;2000-05-15
Geoff Harden;1943-07-08;2006-09-04
Geoff Love;1917-09-04;1991-07-08
Geoff Workman;1947-09-21;['2010-01-21', '2010-01-28']
Geoffrey Bush;1920-03-23;1998-02-24
Geoffrey Holder;1930-08-20;2014-10-05
Geoffrey Parsons (pianist);1929-06-15;1995-01-26
Geoffrey Tozer;1954-11-05;2009-08-21
Georg Arnold;1621-04-23;1676-01-16
None;1946-10-07;2007-06-21
Georg Forster (composer);None;1568-11-12
Georg Friedrich Knapp;1842-03-07;1926-02-20
Georg Haentzschel;1907-12-23;1992-04-12
Georg Hann;1897-01-30;1950-12-09
Georg Hellmesberger Jr.;1830-01-27;1852-11-12
Georg Hellmesberger Sr.;1800-04-24;1873-08-16
Georg Händel;1622-09-24;1697-02-11
Georg Kulenkampff;1898-01-23;1948-10-04
Georg Liebling;1865-01-22;1946-02-07
Georg Malmstén;1902-06-27;1981-05-25
Georg Michael Telemann;1748-04-20;1831-03-04
Georg Paul Thomann;1945-03-13;2005-07-21
Georg Rhau;None;1548-08-06
Georg Schumann (composer);1866-10-25;1952-05-23
Georg Vierling;1820-09-05;1901-06-01
Georg Wilhelm Friedrich Hegel;1770-08-27;1831-11-14
Georg Wilhelm Rauchenecker;1844-03-08;1906-07-17
Georg von Bertouch;1668-06-19;1743-09-14
Georg Österreich;1664-03-17;1735-06-06
George Mojo Buford;1929-11-10;2011-10-11
George Wild Child Butler;1936-10-01;2005-03-01
George A. Whiting;1884-08-16;1943-12-18
George Adams (musician);1940-04-29;1992-11-14
George Alexander (musician);1867-07-09;1913-03-02
George Amon Webster;1945-12-10;2013-09-28
George Andreani;1901-02-28;1979-04-02
George Aspull;None;1832-08-19
George Band;1929-02-02;2011-08-26
George Baquet;1881-07-22;1949-01-14
George Barnes (musician);1921-07-17;1977-09-05
George Barrow (musician);1921-09-21;2013-03-19
George Bassman;1914-02-07;1997-06-26
George Beauchamp;1899-03-18;1941-03-20
George Becker (composer);1834-06-24;1928-07-18
George Britton (musician);1910-10-19;2010-02-12
George Bruns;1914-07-03;1983-05-23
George Burarrwanga;None;2007-06-10
George Burchill;1820-05-08;1907-06-18
George Butler (record producer);1931-09-02;2008-04-09
George Canseco;1934-04-23;2004-11-19
George Careless;1839-09-24;1932-03-05
George Cates;1911-10-19;2002-05-10
George Chisholm (musician);1915-03-29;1997-12-06
George Copeland;1882-04-03;1971-06-16
George Cromarty;1941-09-15;1992-02-12
George Crum (musician);None;2007-09-08
George D. Pyper;1860-11-21;1943-01-17
George David Weiss;1921-04-09;2010-08-23
George DeWitt;1922-12-30;1979-07-14
George Desmond Hodnett;1918-02-25;1990-09-23
George Duke;1946-01-12;2013-08-05
George Duvivier;1920-08-17;1985-07-11
George E. Blake;None;1871-02-20
George E. Lee;1896-04-28;1958-10-02
George Edwards (marching band director);1948-11-05;2009-05-28
George Elrick;1903-12-29;1999-12-15
George F. Argetsinger;None;1951-02-11
George F. Houston;1896-01-11;1944-11-12
George Feyer (pianist);1908-10-27;2001-10-21
George Fierstone;1916-11-14;1984-04-13
George Formby Sr;1875-10-04;1921-02-08
George Forrest (author);1915-07-31;1999-10-10
George Frederick Anderson;1793-12-14;1876-12-14
George Frederick Vincent;1855-03-25;1928-11-30
George Fuller Golden;None;1912-02-17
George Garner;1892-04-16;1971-01-08
George Garrett (composer);1834-06-08;1897-04-08
George Georgescu;1887-09-12;1964-09-01
George Goldner;1918-02-09;1970-04-15
George Greeley;['1917-06-23', '1917-07-23'];2007-05-26
George Green (songwriter);1952-01-28;2011-08-28
George Guesnon;1907-05-25;1968-05-06
George H. Buck Jr.;1928-12-22;2013-12-11
George H. Chirgwin;1854-12-14;1922-11-17
George H. Clutsam;1866-09-26;1951-11-17
George H. Coes;None;1897-03-16
George H. Hucke;None;1903-03-20
George Hamilton IV;1937-07-19;2014-09-17
George Handy;1920-01-17;1997-01-08
George Harrison;1943-02-25;2001-11-29
George Henry Powell;1880-04-27;1951-12-03
George Hogarth;1783-09-06;1870-02-12
George Hopkins (comedian);1928-07-04;2011-02-28
George Horner (musician);1923-09-15;2015-04-23
George Howard (jazz);1956-09-15;1998-03-20
George Jackson (songwriter);1945-03-12;2013-04-14
George James (musician);1906-12-07;1995-01-30
George Jones;1931-09-12;2013-04-26
George Kelly (musician);1915-07-31;1998-05-24
George Khoury (record producer);1909-07-17;1998-01-08
George Kirby (footballer);1933-12-20;2000-03-24
George Kleinsinger;1914-02-13;1982-07-28
George Kunda;1956-02-26;2012-04-16
George L. Cobb;1886-08-31;1942-12-25
George Lashwood;1863-04-25;1942-01-20
George Lewis (clarinetist);1900-07-13;1968-12-31
George Leybourne;1842-03-17;1884-09-15
George Lichtenstein (musician);None;1893-02-13
George Linstead;1908-01-24;1974-12-28
George Logie-Smith;1914-12-02;2007-04-19
George Maciunas;1931-11-08;1978-05-09
George Malcolm Laws;1919-01-04;1994-08-01
George Malloy;1920-06-23;2008-03-16
George Marino;1947-04-15;2012-06-04
George Matthews (musician);1912-09-23;1982-06-28
George McAnthony;1966-04-06;2011-07-08
George McCorkle;1947-10-11;2007-06-29
George Melly;1926-08-17;2007-07-05
George Mitchell (musician);1917-02-27;2002-08-27
George Morgan (singer);1924-06-28;1975-07-07
George Motola;1919-11-15;1991-02-15
George N. Parks;1953-05-23;2010-09-16
George Olsen;1893-03-18;1971-03-18
George Perle;1915-05-06;2009-01-23
George Pickering;None;1826-07-28
George Probert;1927-03-05;2015-01-10
George Rasely;None;1965-01-03
George Richard Marek;1902-07-13;1987-01-07
George Richey;1935-11-30;2010-07-31
George Russell (composer);1923-06-23;2009-07-27
George S. Davis;1906-08-19;1992-11-03
George Scott III;1953-10-16;1980-08-05
George Shearing;1919-08-13;2011-02-14
